id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40471293,Great apartment in Ipanema,3954477,Bruno,,Ipanema,-22.98523,-43.2066,Entire home/apt,750,5,2,2020-02-27,0.11,2,178
40472244,Praia de Copacabana - orla - só atravessar a rua,51277573,Luiz,,Copacabana,-22.96543,-43.17543,Entire home/apt,130,3,36,2021-02-19,1.93,1,241
40479525,"MELHOR PONTO DE IPANEMA -
Segurança, Metro, Praia, Lagoa,Copacabana...",289875867,Mirian,,Ipanema,-22.9829,-43.2053,Private room,3563,1,0,,,1,365
40480169,Sweet place with small balcony - best location!,16589937,Francisco,,Flamengo,-22.93762,-43.17712,Entire home/apt,460,2,1,2020-01-01,0.05,2,66
40482984,"Guaratiba, boa casa, 1 5min.da praia do Recreio",130328815,Sonia,,Guaratiba,-22.96462,-43.61548,Entire home/apt,62,4,4,2020-12-14,0.42,2,365
40483891,Um 2 quartos exc em Copa,64294308,Terezinha,,Copacabana,-22.96496,-43.17737,Entire home/apt,200,5,1,2020-01-21,0.06,4,260
40485023,Excelente Apartamento 2 Quartos no Coração Leblon,15226412,Idelmar,,Leblon,-22.97952,-43.21941,Entire home/apt,1299,2,0,,,2,363
40486030,CARNAVAL DE LUXO NA CIDADE MARAVILHOSA!!!,60944838,Pedro Henrique,,Copacabana,-22.9754,-43.18869,Entire home/apt,600,4,2,2020-01-28,0.11,1,83
40486286,Tranquilidade na Urca,97643606,Thais,,Urca,-22.9525,-43.16768,Entire home/apt,184,3,0,,,1,180
40486508,Park OLímpico/Rock in Rio/Arena Jeunesse 20,47584281,Renato,,Jacarepaguá,-22.97172,-43.39696,Entire home/apt,420,1,2,2021-01-04,0.12,40,365
40487919,Suíte para 02 pessoas solteiras - Copa Posto 5,237277191,Diana,,Copacabana,-22.98185,-43.19505,Private room,130,5,0,,,2,87
40488015,🌞⛱ Eli’s Beautiful Place in Copacabana⛱🌞,216929146,Eliane,,Copacabana,-22.98116,-43.19179,Entire home/apt,205,2,14,2019-12-31,0.75,1,249
40489446,Novíssimo Loft entre COPACABANA e IPANEMA,176814385,Marcia Valeria Da Silva,,Copacabana,-22.98353,-43.1952,Entire home/apt,190,2,10,2021-05-23,0.59,2,282
40489737,Feel the heart of Copacabana,24165580,Rosane Nascimento,,Copacabana,-22.96582,-43.18071,Entire home/apt,259,3,1,2020-01-29,0.06,1,9
40490583,Um cantinho com a energia da Natureza.,233523813,Catia,,Vargem Pequena,-22.9879,-43.4289,Entire home/apt,140,2,0,,,1,179
40502347,Hotel Res. Édipo Rei. Vaga Carro e Serv. Limpeza!,95410916,Daniel,,Copacabana,-22.96609,-43.19123,Entire home/apt,184,1,27,2019-12-30,1.43,1,261
40503624,Apartamento Inteiro e Moderno Praia de Ipanema.,249003418,Paulo,,Copacabana,-22.98618,-43.19076,Entire home/apt,999,2,0,,,14,365
40504105,Apto Inacreditável Tijuca silencioso até 5 pessoas,139315467,Mario Elias,,Tijuca,-22.92902,-43.24217,Entire home/apt,220,3,0,,,1,320
40506376,Casinha charmosa em Laranjeiras,1136454,Katerina,,Laranjeiras,-22.93708,-43.18826,Entire home/apt,450,2,0,,,2,362
40506626,Apartamento lindo e silencioso! Perto do Arpoador!,7432245,Dan,,Copacabana,-22.97924,-43.1908,Entire home/apt,164,4,3,2021-01-03,0.16,1,178
40507053,Melhor opção Gávea !,313599491,Carolina Lis,,Gávea,-22.97771,-43.2286,Entire home/apt,511,5,0,,,1,365
40508616,Quarto Suite próx. Praia Flamengo Casal/Solteiro,313612559,Sergio Alejandro,,Flamengo,-22.9296,-43.17508,Private room,78,2,3,2021-01-04,0.60,1,90
